Date,Startup Name,Industry,Sub-vertical,Location,Investors,Investment Type,Amount in USD,Website URL
2016-06-08,Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,,https://cookifi.com/
2016-06-08,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,200000.0,http://6degree.co/
2016-06-08,StoreKing,eCommerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Axiata Digital,Private Equity,16000000.0,http://storeking.in/
2016-06-08,MySeniorDoctor,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,200000.0,http://myseniordoctor.com/
2016-06-08,ListUp,eCommerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,500000.0,
2016-06-08,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,1000000.0,http://www.greycampus.com/
2016-06-08,Wired Hub,Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,,http://wiredhub.in/
2016-06-08,Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Funding,,
2016-06-07,CreditVidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,1000000.0,http://www.creditvidya.com/
2016-06-07,HelpShift,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,23000000.0,https://www.helpshift.com/
2016-06-07,Intgrea,Technology,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,100000.0,https://www.intgrea.com/
2016-06-07,KrazyBee,Consumer Internet,Student Micro-Loan platform,Bangalore,"Yeahmobi, Fenqile",Private Equity,2000000.0,http://www.KrazyBee.com
2016-06-07,CueMath,Education,K-12 Maths Learning Courses,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,4000000.0,http://www.cuemath.com/
2016-06-06,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,448000.0,
2016-06-03,iCliniq,Consumer Internet,Doctor Consultation platform,Bangalore,MadhanKumar Madathupalayam,Seed Funding,,https://www.icliniq.com/
2016-06-03,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,75000.0,
2016-06-03,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,2000000.0,http://www.vyome.in/
2016-06-02,Coutloot,eCommerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,,
